key,statute_code,law_section_code,law_section_desc,violation_type_code,violation_type,concat,count,top_level_epa_summary,top_level_usc,drilldown_epa_summary,drilldown_usc,drilldown_cfr,drilldown_fr,
CWA-301/402-PRMTVL,CWA,301/402,NPDES Permit Violations,PRMTVL,Violation Of A Permit Requirement,CWA 301/402 NPDES Permit Violations PRMTVL Violation Of A Permit Requirement,3044,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1342,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
CWA-311J-PLAN,CWA,311J,SPCC and/or Federal Response Plan Violations,PLAN,Failure To Have Adequate SPCC Plan,CWA 311J SPCC and/or Federal Response Plan Violations PLAN Failure To Have Adequate SPCC Plan,2350,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/oil-spills-prevention-and-preparedness-regulations/overview-spill-prevention-control-and,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1321,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part112,,
CAA-112[R][7]-RMP-A,CAA,112[R][7],Prevention of Accidental Release/Risk Management Plans (RMPs),RMP-A,Risk Management Plan - CAA,CAA 112[R][7] Prevention of Accidental Release/Risk Management Plans (RMPs) RMP-A Risk Management Plan - CAA,2284,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,https://www.epa.gov/rmp,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7412,https://www.govinfo.gov/app/details/CFR-2018-title40-vol17/CFR-2018-title40-vol17-part68-subpartA,https://www.govinfo.gov/app/details/FR-1999-01-06/99-231,
CWA-301-PRMTVL,CWA,301,NPDES Discharge without a Permit,PRMTVL,Violation Of A Permit Requirement,CWA 301 NPDES Discharge without a Permit PRMTVL Violation Of A Permit Requirement,1757,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1311,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
CWA-311B-SPILL,CWA,311B,Oil & Hazardous Substances Discharge,SPILL,Oil Spill Violation Under CWA/OPA,CWA 311B Oil & Hazardous Substances Discharge SPILL Oil Spill Violation Under CWA/OPA,1473,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/compliance/clean-water-act-cwa-compliance-monitoring#oil,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1321,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-sec110-3,,
SDWA-1412/1414-PWSMR,SDWA,1412/1414,National Drinking Water Regulations,PWSMR,PWS Monitoring/Reporting,SDWA 1412/1414 National Drinking Water Regulations PWSMR PWS Monitoring/Reporting,1435,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,https://www.epa.gov/compliance/safe-drinking-water-act-sdwa-compliance-monitoring,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partB-sec300g-1,,,
CWA-404-404PMT,CWA,404,Permits for Dredge and Fill Material,404PMT,Discharge Without Or In Violation Of A 404 Permit,CWA 404 Permits for Dredge and Fill Material 404PMT Discharge Without Or In Violation Of A 404 Permit,1415,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/cwa-404/section-404-permit-program,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1344,,,
CWA-301-NOPRMT,CWA,301,NPDES Discharge without a Permit,NOPRMT,"Discharge, Emission Or Activity WO Required Permit","CWA 301 NPDES Discharge without a Permit NOPRMT Discharge, Emission Or Activity WO Required Permit",1308,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1341,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
SDWA-1412/1414-REP,SDWA,1412/1414,National Drinking Water Regulations,REP,Violations Of Reporting Requirements,SDWA 1412/1414 National Drinking Water Regulations REP Violations Of Reporting Requirements,1187,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,https://www.epa.gov/compliance/safe-drinking-water-act-sdwa-compliance-monitoring,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partB-sec300g-1,,,
EPCRA-313-TRI,EPCRA,313,Toxic Chemical Release Reporting (TRI),TRI,Toxic Release Inventory (Section 313),EPCRA 313 Toxic Chemical Release Reporting (TRI) TRI Toxic Release Inventory (Section 313),1181,https://www.epa.gov/laws-regulations/summary-emergency-planning-community-right-know-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapI-sec11001,https://www.epa.gov/toxics-release-inventory-tri-program,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapII-sec11023,,,
